I1
0.214239
0.214297
0.214297
0.214351
0.214254
0.21423
0.21423
0.214122
0.214083
0.213983
0.213932
0.21388
0.21388
0.213978
0.213945
0.213984
0.213984
0.213894
0.213829
0.213902
0.21387
0.213819
0.213857
0.213959
0.214033
0.214114
0.214196
0.214146
0.214112
0.214038
0.214157
0.214109
0.214149
0.214155
0.214107
0.214153
0.214153
0.214104
0.214178
0.214177
0.214303
0.214242
0.214275
0.214275
0.214171
0.214131
0.214167
0.214119
0.214119
0.214191
0.21417
0.214159
0.214159
0.213947
0.214077
0.214117
0.214262
0.214217
0.214283
0.214306
0.214383
0.214344
0.214291
0.214291
0.214235
0.214272
0.214186
0.213987
0.213914
0.213919
0.213999
0.21406
0.214134
0.214132
0.214124
0.214093
0.214166
0.214168
0.214021
0.213908
0.214029
0.214102
0.21421
0.214214
0.214189
0.214116
0.214126
0.21414
0.214154
0.214154
0.214235
0.214243
0.214199
0.214199
0.214157
0.214208
0.214236
0.214162
0.214075
0.213956
0.213988
0.214061
0.214144
0.214175
0.214175
0.214054
0.214054
0.214108
0.21415
0.214369
0.214319
0.214241
0.214168
0.214168
0.214098
0.214208
0.214258
0.214198
0.214147
0.214143
0.214217
0.21421
0.214283
0.214211
0.214211
0.214216
0.214135
0.214063
0.214063
0.214117
0.214263
0.214176
0.214019
0.214067
0.214147
0.214148
0.214246
0.214246
0.214268
0.214195
0.214288
0.214172
0.21416
0.214084
0.214126
0.214126
0.214142
0.214142
0.214043
0.214142
0.214094
0.214115
0.214215
0.214197
0.21427
0.214176
0.214138
0.214211
0.214224
0.214266
0.214266
0.214267
0.214336
0.214279
0.214206
0.214213
0.214214
0.214214
0.214209
0.214113
0.214108
0.214062
0.214006
0.214006
0.213994
0.213932
0.213968
0.214034
0.21394
0.214013
0.213944
0.214022
0.214095
0.214119
0.21416
0.214087
0.214201
0.21425
0.214177
0.214287
0.214237
0.214174
0.214121
0.214121
0.214152
0.21427
0.21427
0.214355
0.214343
0.214255
0.214337
0.214351
0.214342
0.214347
0.214347
0.214257
0.214198
0.214096
0.214083
0.214085
0.214036
0.214115
0.214174
0.214121
0.214121
0.214156
0.214079
0.21388
0.213933
0.214152
0.214101
0.214151
0.214102
0.214048
0.213975
0.214066
0.2141
0.214144
0.214119
0.214132
0.214132
0.214128
0.214128
0.214117
0.214101
0.214028
0.214086
0.214149
0.214051
0.213968
0.213922
0.213882
0.213932
0.214005
0.214066
0.214016
0.213994
0.213994
0.214001
0.214001
0.213984
0.213984
0.214063
0.214014
0.214026
0.214099
0.214104
0.214104
0.214029
0.21402
0.21402
0.213958
0.213912
0.213908
0.213873
0.213859
